Tue Sep 17 10:35:19 UTC 2013	2537536
Tue Sep 17 10:35:20 UTC 2013	2537908
Tue Sep 17 10:35:21 UTC 2013	2522284
Tue Sep 17 10:35:22 UTC 2013	2523648
Tue Sep 17 10:35:23 UTC 2013	2523648
Tue Sep 17 10:35:24 UTC 2013	2541008
Tue Sep 17 10:35:25 UTC 2013	2557376
Tue Sep 17 10:35:26 UTC 2013	2558244
Tue Sep 17 10:35:27 UTC 2013	2558864
Tue Sep 17 10:35:28 UTC 2013	2559608
Tue Sep 17 10:35:29 UTC 2013	2560476
Tue Sep 17 10:35:30 UTC 2013	2561220
Tue Sep 17 10:35:31 UTC 2013	2561964
Tue Sep 17 10:35:32 UTC 2013	2563452
Tue Sep 17 10:35:33 UTC 2013	2563452
Tue Sep 17 10:35:34 UTC 2013	2563832
Tue Sep 17 10:35:35 UTC 2013	2580324
Tue Sep 17 10:35:36 UTC 2013	2592592
Tue Sep 17 10:35:37 UTC 2013	2593336
Tue Sep 17 10:35:38 UTC 2013	2594204
Tue Sep 17 10:35:39 UTC 2013	2595072
Tue Sep 17 10:35:40 UTC 2013	2595700
Tue Sep 17 10:35:41 UTC 2013	2596444
Tue Sep 17 10:35:43 UTC 2013	2599164
Tue Sep 17 10:35:44 UTC 2013	2597924
Tue Sep 17 10:35:45 UTC 2013	2599792
Tue Sep 17 10:35:46 UTC 2013	2612812
Tue Sep 17 10:35:47 UTC 2013	2613548
Tue Sep 17 10:35:48 UTC 2013	2614416
Tue Sep 17 10:35:49 UTC 2013	2615292
Tue Sep 17 10:35:50 UTC 2013	2616036
Tue Sep 17 10:35:51 UTC 2013	2616532
Tue Sep 17 10:35:52 UTC 2013	2617152
Tue Sep 17 10:35:53 UTC 2013	2617028
Tue Sep 17 10:35:54 UTC 2013	2617400
Tue Sep 17 10:35:55 UTC 2013	2617888
Tue Sep 17 10:35:56 UTC 2013	2625080
Tue Sep 17 10:35:57 UTC 2013	2625700
Tue Sep 17 10:35:58 UTC 2013	2626320
Tue Sep 17 10:35:59 UTC 2013	2626328
Tue Sep 17 10:36:00 UTC 2013	2600412
Tue Sep 17 10:36:01 UTC 2013	2600536
Tue Sep 17 10:36:02 UTC 2013	2600536
Tue Sep 17 10:36:03 UTC 2013	2600528
Tue Sep 17 10:36:04 UTC 2013	2601272
Tue Sep 17 10:36:05 UTC 2013	2601900
Tue Sep 17 10:36:06 UTC 2013	2602520
Tue Sep 17 10:36:07 UTC 2013	2603256
Tue Sep 17 10:36:08 UTC 2013	2603504
Tue Sep 17 10:36:09 UTC 2013	2604496
Tue Sep 17 10:36:10 UTC 2013	2604744
Tue Sep 17 10:36:11 UTC 2013	2604752
Tue Sep 17 10:36:12 UTC 2013	2604752
Tue Sep 17 10:36:13 UTC 2013	2605000
Tue Sep 17 10:36:14 UTC 2013	2605372
Tue Sep 17 10:36:15 UTC 2013	2605984
Tue Sep 17 10:36:16 UTC 2013	2606480
Tue Sep 17 10:36:17 UTC 2013	2607100
Tue Sep 17 10:36:18 UTC 2013	2607844
Tue Sep 17 10:36:19 UTC 2013	2608720
Tue Sep 17 10:36:20 UTC 2013	2592972
Tue Sep 17 10:36:21 UTC 2013	2592840
Tue Sep 17 10:36:22 UTC 2013	2592840
Tue Sep 17 10:36:23 UTC 2013	2593088
Tue Sep 17 10:36:24 UTC 2013	2593336
Tue Sep 17 10:36:25 UTC 2013	2593964
Tue Sep 17 10:36:26 UTC 2013	2594584
Tue Sep 17 10:36:27 UTC 2013	2595072
Tue Sep 17 10:36:28 UTC 2013	2595444
Tue Sep 17 10:36:29 UTC 2013	2596064
Tue Sep 17 10:36:30 UTC 2013	2596436
Tue Sep 17 10:36:31 UTC 2013	2596436
Tue Sep 17 10:36:32 UTC 2013	2596444
Tue Sep 17 10:36:33 UTC 2013	2596436
Tue Sep 17 10:36:34 UTC 2013	2596932
Tue Sep 17 10:36:35 UTC 2013	2597552
Tue Sep 17 10:36:36 UTC 2013	2597800
Tue Sep 17 10:36:37 UTC 2013	2598792
Tue Sep 17 10:36:38 UTC 2013	2599792
Tue Sep 17 10:36:39 UTC 2013	2600776
Tue Sep 17 10:36:40 UTC 2013	2601280
Tue Sep 17 10:36:41 UTC 2013	2601272
Tue Sep 17 10:36:42 UTC 2013	2601272
Tue Sep 17 10:36:43 UTC 2013	2601272
Tue Sep 17 10:36:44 UTC 2013	2601396
Tue Sep 17 10:36:45 UTC 2013	2602016
Tue Sep 17 10:36:46 UTC 2013	2602636
Tue Sep 17 10:36:47 UTC 2013	2603132
Tue Sep 17 10:36:48 UTC 2013	2603876
Tue Sep 17 10:36:49 UTC 2013	2604248
Tue Sep 17 10:36:50 UTC 2013	2604868
Tue Sep 17 10:36:51 UTC 2013	2604868
Tue Sep 17 10:36:52 UTC 2013	2604744
Tue Sep 17 10:36:53 UTC 2013	2604744
Tue Sep 17 10:36:54 UTC 2013	2604868
Tue Sep 17 10:36:55 UTC 2013	2604992
Tue Sep 17 10:36:56 UTC 2013	2605612
Tue Sep 17 10:36:57 UTC 2013	2606108
Tue Sep 17 10:36:58 UTC 2013	2606728
Tue Sep 17 10:36:59 UTC 2013	2607100
Tue Sep 17 10:37:00 UTC 2013	2607720
Tue Sep 17 10:37:01 UTC 2013	2608092
Tue Sep 17 10:37:02 UTC 2013	2608092
Tue Sep 17 10:37:03 UTC 2013	2608092
Tue Sep 17 10:37:04 UTC 2013	2608216
Tue Sep 17 10:37:05 UTC 2013	2608216
Tue Sep 17 10:37:06 UTC 2013	2608712
Tue Sep 17 10:37:07 UTC 2013	2609084
Tue Sep 17 10:37:08 UTC 2013	2609580
Tue Sep 17 10:37:09 UTC 2013	2610076
Tue Sep 17 10:37:10 UTC 2013	2610704
Tue Sep 17 10:37:11 UTC 2013	2611572
Tue Sep 17 10:37:12 UTC 2013	2612184
Tue Sep 17 10:37:13 UTC 2013	2612184
Tue Sep 17 10:37:14 UTC 2013	2612060
Tue Sep 17 10:37:15 UTC 2013	2612060
Tue Sep 17 10:37:16 UTC 2013	2612060
Tue Sep 17 10:37:17 UTC 2013	2612796
Tue Sep 17 10:37:18 UTC 2013	2614036
Tue Sep 17 10:37:19 UTC 2013	2614780
Tue Sep 17 10:37:20 UTC 2013	2615904
Tue Sep 17 10:37:21 UTC 2013	2601892
Tue Sep 17 10:37:22 UTC 2013	2603000
Tue Sep 17 10:37:23 UTC 2013	2603372
Tue Sep 17 10:37:24 UTC 2013	2603372
Tue Sep 17 10:37:25 UTC 2013	2603372
Tue Sep 17 10:37:26 UTC 2013	2603248
Tue Sep 17 10:37:27 UTC 2013	2603496
